distrito,fecha,poblacion
HORTALEZA,2014-11-01,175241
SAN BLAS-CANILLEJAS,2014-11-01,153394
CARABANCHEL,2014-11-01,242042
TETUÁN,2014-11-01,152236
VILLAVERDE,2014-11-01,141771
LATINA,2014-11-01,235935
MORATALAZ,2014-11-01,95347
CIUDAD LINEAL,2014-11-01,213345
MONCLOA - ARAVACA,2014-11-01,116836
CENTRO,2014-11-01,132899
USERA,2014-11-01,133626
BARAJAS,2014-11-01,45952
SALAMANCA,2014-11-01,143768
VICÁLVARO,2014-11-01,69694
ARGANZUELA,2014-11-01,151249
RETIRO,2014-11-01,118665
VILLA DE VALLECAS,2014-11-01,99913
CHAMBERÍ,2014-11-01,138564
FUENCARRAL - EL PARDO,2014-11-01,234148
PUENTE DE VALLECAS,2014-11-01,227841
MONCLOA - ARAVACA,2014-12-01,116280
VILLA DE VALLECAS,2014-12-01,99702
USERA,2014-12-01,133035
FUENCARRAL - EL PARDO,2014-12-01,233341
PUENTE DE VALLECAS,2014-12-01,226744
LATINA,2014-12-01,234839
CIUDAD LINEAL,2014-12-01,212264
SAN BLAS-CANILLEJAS,2014-12-01,152780
BARAJAS,2014-12-01,45812
MORATALAZ,2014-12-01,95031
HORTALEZA,2014-12-01,174640
CHAMBERÍ,2014-12-01,137767
CHAMARTÍN,2014-12-01,141738
VICÁLVARO,2014-12-01,69460
RETIRO,2014-12-01,118212
TETUÁN,2014-12-01,151313
CARABANCHEL,2014-12-01,240853
ARGANZUELA,2014-12-01,150467
CENTRO,2014-12-01,131568
SALAMANCA,2014-12-01,142843
VILLAVERDE,2014-12-01,140974
VICÁLVARO,2015-01-01,69614
FUENCARRAL - EL PARDO,2015-01-01,233978
LATINA,2015-01-01,235093
ARGANZUELA,2015-01-01,150884
SAN BLAS-CANILLEJAS,2015-01-01,153131
BARAJAS,2015-01-01,45870
MORATALAZ,2015-01-01,95089
HORTALEZA,2015-01-01,175293
PUENTE DE VALLECAS,2015-01-01,227263
CHAMBERÍ,2015-01-01,137985
CENTRO,2015-01-01,131990
CHAMARTÍN,2015-01-01,142039
TETUÁN,2015-01-01,151641
CARABANCHEL,2015-01-01,241319
CIUDAD LINEAL,2015-01-01,212492
USERA,2015-01-01,133429
VILLAVERDE,2015-01-01,141279
VILLA DE VALLECAS,2015-01-01,100039
MONCLOA - ARAVACA,2015-01-01,116492
SALAMANCA,2015-01-01,143152
RETIRO,2015-01-01,118500
CHAMBERÍ,2015-02-01,137716
SALAMANCA,2015-02-01,142863
HORTALEZA,2015-02-01,175553
PUENTE DE VALLECAS,2015-02-01,226920
VILLA DE VALLECAS,2015-02-01,100251
VICÁLVARO,2015-02-01,69586
MORATALAZ,2015-02-01,94945
FUENCARRAL - EL PARDO,2015-02-01,233907
CHAMARTÍN,2015-02-01,142132
BARAJAS,2015-02-01,45950
VILLAVERDE,2015-02-01,141310
ARGANZUELA,2015-02-01,150726
MONCLOA - ARAVACA,2015-02-01,116397
SAN BLAS-CANILLEJAS,2015-02-01,153056
CARABANCHEL,2015-02-01,241175
LATINA,2015-02-01,234844
CIUDAD LINEAL,2015-02-01,212199
RETIRO,2015-02-01,118404
TETUÁN,2015-02-01,151681
CENTRO,2015-02-01,131525
USERA,2015-02-01,133370
CHAMARTÍN,2015-03-01,142369
CARABANCHEL,2015-03-01,241704
RETIRO,2015-03-01,118598
SALAMANCA,2015-03-01,143096
