"fecha","distrito","poblacion"
2014-01-01,"CHAMBERÍ","138.875"
2014-01-01,"CIUDAD LINEAL","214.163"
2014-01-01,"FUENCARRAL - EL PARDO","232.996"
2014-01-01,"HORTALEZA","172.917"
2014-01-01,"LATINA","237.995"
2014-01-01,"MONCLOA - ARAVACA","115.859"
2014-01-01,"MORATALAZ"," 96.296"
2014-01-01,"PUENTE DE VALLECAS","228.729"
2014-01-01,"RETIRO","118.996"
2014-01-01,"SALAMANCA","143.624"
2014-01-01,"SAN BLAS-CANILLEJAS","153.396"
2014-01-01,"TETUÁN","152.578"
2014-01-01,"USERA","133.571"
2014-01-01,"VICÁLVARO"," 69.724"
2014-01-01,"VILLA DE VALLECAS"," 98.934"
2014-01-01,"VILLAVERDE","142.085"
2014-02-01,"ARGANZUELA","151.624"
2014-02-01,"BARAJAS"," 45.633"
2014-02-01,"CARABANCHEL","242.750"
2014-02-01,"CENTRO","133.963"
2014-02-01,"CHAMARTÍN","142.835"
2014-02-01,"CHAMBERÍ","138.601"
2014-02-01,"CIUDAD LINEAL","213.956"
2014-02-01,"FUENCARRAL - EL PARDO","233.064"
2014-02-01,"HORTALEZA","173.142"
2014-02-01,"LATINA","237.733"
2014-02-01,"MONCLOA - ARAVACA","115.817"
2014-02-01,"MORATALAZ"," 96.172"
2014-02-01,"PUENTE DE VALLECAS","228.706"
2014-02-01,"RETIRO","118.839"
2014-02-01,"SALAMANCA","143.532"
2014-02-01,"SAN BLAS-CANILLEJAS","153.404"
2014-02-01,"TETUÁN","152.532"
2014-02-01,"USERA","133.532"
2014-02-01,"VICÁLVARO"," 69.650"
2014-02-01,"VILLA DE VALLECAS"," 99.029"
2014-02-01,"VILLAVERDE","142.103"
2014-03-01,"ARGANZUELA","151.826"
2014-03-01,"BARAJAS"," 45.735"
2014-03-01,"CARABANCHEL","243.139"
2014-03-01,"CENTRO","134.195"
2014-03-01,"CHAMARTÍN","142.947"
2014-03-01,"CHAMBERÍ","138.841"
2014-03-01,"CIUDAD LINEAL","214.347"
2014-03-01,"FUENCARRAL - EL PARDO","233.708"
2014-03-01,"HORTALEZA","173.576"
2014-03-01,"LATINA","237.844"
2014-03-01,"MONCLOA - ARAVACA","116.014"
2014-03-01,"MORATALAZ"," 96.158"
2014-03-01,"PUENTE DE VALLECAS","228.872"
2014-03-01,"RETIRO","118.987"
2014-03-01,"SALAMANCA","143.712"
2014-03-01,"SAN BLAS-CANILLEJAS","153.568"
2014-03-01,"TETUÁN","152.808"
2014-03-01,"USERA","133.753"
2014-03-01,"VICÁLVARO"," 69.838"
2014-03-01,"VILLA DE VALLECAS"," 99.176"
2014-03-01,"VILLAVERDE","142.382"
2014-04-01,"ARGANZUELA","151.473"
2014-04-01,"BARAJAS"," 45.744"
2014-04-01,"CARABANCHEL","242.706"
2014-04-01,"CENTRO","133.329"
2014-04-01,"CHAMARTÍN","142.773"
2014-04-01,"CHAMBERÍ","138.533"
2014-04-01,"CIUDAD LINEAL","214.064"
2014-04-01,"FUENCARRAL - EL PARDO","233.816"
2014-04-01,"HORTALEZA","173.672"
2014-04-01,"LATINA","237.398"
2014-04-01,"MONCLOA - ARAVACA","115.826"
2014-04-01,"MORATALAZ"," 95.984"
2014-04-01,"PUENTE DE VALLECAS","228.375"
2014-04-01,"RETIRO","118.862"
2014-04-01,"SALAMANCA","143.504"
2014-04-01,"SAN BLAS-CANILLEJAS","153.440"
2014-04-01,"TETUÁN","152.375"
2014-04-01,"USERA","133.485"
2014-04-01,"VICÁLVARO"," 69.772"
2014-04-01,"VILLA DE VALLECAS"," 99.218"
2014-04-01,"VILLAVERDE","142.190"
2014-05-01,"ARGANZUELA","151.272"
2014-05-01,"BARAJAS"," 45.776"
2014-05-01,"CARABANCHEL","242.571"
2014-05-01,"CENTRO","132.684"
2014-05-01,"CHAMARTÍN","142.463"
2014-05-01,"CHAMBERÍ","138.370"
2014-05-01,"CIUDAD LINEAL","213.956"
2014-05-01,"FUENCARRAL - EL PARDO","233.726"
2014-05-01,"HORTALEZA","173.822"
2014-05-01,"LATINA","237.066"
2014-05-01,"MONCLOA - ARAVACA","115.861"
2014-05-01,"MORATALAZ"," 95.785"
2014-05-01,"PUENTE DE VALLECAS","228.226"
2014-05-01,"RETIRO","118.799"
2014-05-01,"SALAMANCA","143.260"
2014-05-01,"SAN BLAS-CANILLEJAS","153.363"
2014-05-01,"TETUÁN","152.094"
2014-05-01,"USERA","133.451"
2014-05-01,"VICÁLVARO"," 69.789"
2014-05-01,"VILLA DE VALLECAS"," 99.275"
2014-05-01,"VILLAVERDE","142.090"
2014-06-01,"ARGANZUELA","151.146"
2014-06-01,"BARAJAS"," 45.758"
2014-06-01,"CARABANCHEL","242.366"
2014-06-01,"CENTRO","132.356"
2014-06-01,"CHAMARTÍN","142.290"
2014-06-01,"CHAMBERÍ","138.147"
2014-06-01,"CIUDAD LINEAL","213.842"
2014-06-01,"FUENCARRAL - EL PARDO","233.744"
2014-06-01,"HORTALEZA","173.866"
2014-06-01,"LATINA","236.798"
