Fecha;Lugar;Precio_m2;Variacion_mensual;Variacion_trimestral;Variacion anual
nov-16;Barajas;10,2;0,3;1,2;4,4
oct-16;Barajas;10,2;2,9;-0,8;4,2
sept-16;Barajas;9,9;-1,9;-2,1;3,2
ago-16;Barajas;10,1;-1,6;3,8;6,9
jul-16;Barajas;10,2;1,5;5,6;8,1
jun-16;Barajas;10,1;4;1,5;4,9
may-16;Barajas;9,7;0,1;-1,6;0
abr-16;Barajas;9,7;-2,5;-3,1;-0,4
mar-16;Barajas;9,9;0,9;1,9;4,4
feb-16;Barajas;9,9;-1,5;1;4
ene-16;Barajas;10;2,5;2,6;5,5
dic-15;Barajas;9,7;0;1,9;3,4
nov-15;Barajas;9,8;0,1;3,6;3,2
oct-15;Barajas;9,7;1,9;2,9;4,2
sept-15;Barajas;9,6;1,6;-0,5;1,4
ago-15;Barajas;9,4;-0,5;-2,9;-2,3
jul-15;Barajas;9,5;-1,5;-2,7;0,1
jun-15;Barajas;9,6;-0,8;1;1,3
may-15;Barajas;9,7;-0,3;2,3;-0,7
abr-15;Barajas;9,7;2,2;2,7;-0,6
mar-15;Barajas;9,5;0,5;0,9;-2,4
feb-15;Barajas;9,5;0,1;0,2;-2,6
ene-15;Barajas;9,5;0,4;1,2;-1,1
dic-14;Barajas;9,4;-0,2;0;-1,8
nov-14;Barajas;9,5;1;-1,9;-2,6
oct-14;Barajas;9,4;-0,8;-1,1;-4
sept-14;Barajas;9,4;-2,1;-0,6;-3,2
ago-14;Barajas;9,6;1,9;-1,3;-1
jul-14;Barajas;9,5;-0,3;-3,3;-2,6
jun-14;Barajas;9,5;-2,8;-2,7;-2,8
may-14;Barajas;9,8;-0,3;0,4;-0,1
abr-14;Barajas;9,8;0,4;2,1;0,2
mar-14;Barajas;9,7;0,2;1,5;-0,4
feb-14;Barajas;9,7;1,5;0,2;-2,3
ene-14;Barajas;9,6;-0,3;-1,7;-6,9
dic-13;Barajas;9,6;-1,1;-1,5;-5,9
nov-13;Barajas;9,7;-0,3;-0,2;-4,4
oct-13;Barajas;9,7;-0,1;0,3;-5,3
sept-13;Barajas;9,7;0,2;-0,1;-5
ago-13;Barajas;9,7;0,2;-0,4;-4,4
jul-13;Barajas;9,7;-0,4;-0,5;-4,3
jun-13;Barajas;9,8;-0,1;-0,3;-5,1
may-13;Barajas;9,8;0,1;-1,9;-6,3
abr-13;Barajas;9,8;-0,2;-5,1;-7,6
mar-13;Barajas;9,8;-1,7;-4,1;-8,2
feb-13;Barajas;10;-3,3;-1,9;-4,8
ene-13;Barajas;10,3;0,9;0;0,7
dic-12;Barajas;10,2;0,5;-0,6;0,2
nov-12;Barajas;10,2;-1,4;-0,3;-3,4
oct-12;Barajas;10,3;0,3;1,4;-4,8
