fecha,distrito,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual
05-2019,Barajas,"11,7","1,1","-1,2","0,4"
04-2019,Barajas,"11,6","-0,8","-1,8","-0,5"
03-2019,Barajas,"11,7","-1,5","0,8","0,3"
02-2019,Barajas,"11,9","0,5",4,5
01-2019,Barajas,"11,8","1,9","4,7","7,4"
12-2018,Barajas,"11,6","1,6","3,1","3,8"
11-2018,Barajas,"11,4","1,1",1,2
10-2018,Barajas,"11,3","0,3",-2,"3,1"
09-2018,Barajas,"11,3","-0,4","-5,5","3,8"
08-2018,Barajas,"11,3","-1,9","-3,2","1,8"
07-2018,Barajas,"11,5","-3,3","-1,2","3,4"
06-2018,Barajas,"11,9",2,"2,2","8,8"
05-2018,Barajas,"11,7","0,2","3,3","6,1"
04-2018,Barajas,"11,7",0,6,"4,4"
03-2018,Barajas,"11,7","3,1","4,3","6,6"
02-2018,Barajas,"11,3","2,8","1,1","6,4"
01-2018,Barajas,11,"-1,5","0,5","6,6"
12-2017,Barajas,"11,2","-0,1",3,"10,3"
11-2017,Barajas,"11,2","2,1","0,8","9,9"
10-2017,Barajas,11,1,"-1,7","7,9"
09-2017,Barajas,"10,8","-2,3","-0,9","9,9"
08-2017,Barajas,"11,1","-0,4","0,8","10,3"
07-2017,Barajas,"11,1","1,8","-0,3","8,9"
06-2017,Barajas,"10,9","-0,6","0,1","8,6"
05-2017,Barajas,11,"-1,4","3,6","13,6"
04-2017,Barajas,"11,2","2,1","8,2","15,3"
03-2017,Barajas,"10,9","2,9",8,"10,1"
02-2017,Barajas,"10,6",3,"4,4","7,9"
01-2017,Barajas,"10,3","1,9","1,7","3,3"
12-2016,Barajas,"10,1","-0,5","2,7","3,9"
11-2016,Barajas,"10,2","0,3","1,2","4,4"
10-2016,Barajas,"10,2","2,9","-0,8","4,2"
09-2016,Barajas,"9,9","-1,9","-2,1","3,2"
08-2016,Barajas,"10,1","-1,6","3,8","6,9"
07-2016,Barajas,"10,2","1,5","5,6","8,1"
06-2016,Barajas,"10,1",4,"1,5","4,9"
05-2016,Barajas,"9,7","0,1","-1,6",0
04-2016,Barajas,"9,7","-2,5","-3,1","-0,4"
03-2016,Barajas,"9,9","0,9","1,9","4,4"
02-2016,Barajas,"9,9","-1,5",1,4
01-2016,Barajas,10,"2,5","2,6","5,5"
12-2015,Barajas,"9,7",0,"1,9","3,4"
11-2015,Barajas,"9,8","0,1","3,6","3,2"
10-2015,Barajas,"9,7","1,9","2,9","4,2"
09-2015,Barajas,"9,6","1,6","-0,5","1,4"
08-2015,Barajas,"9,4","-0,5","-2,9","-2,3"
07-2015,Barajas,"9,5","-1,5","-2,7","0,1"
06-2015,Barajas,"9,6","-0,8",1,"1,3"
