año,mes,distrito,total,hombres_total,mujeres_total,no_estudios_total,no_estudios_hombres,no_estudios_mujeres,estudios_primarios_incompletos_total,estudios_primarios_incompletos_hombres,estudios_primarios_incompletos_mujeres,estudios_primarios_total,estudios_primarios_hombres,estudios_primarios_mujeres,programa_fp_total,programa_fp_hombres,programa_fp_mujeres,educacion_general_total,educacion_general_hombres,educacion_general_mujeres,estudios_tecnico_profesionales_superiores_total,estudios_tecnico_profesionales_superiores_hombres,estudios_tecnico_profesionales_superiores_mujeres,estudios_universitarios_ciclo1_total,estudios_universitarios_ciclo1_hombres,estudios_universitarios_ciclo1_mujeres,estudios_universitarios_ciclo2y3_total,estudios_universitarios_ciclo2y3_hombres,estudios_universitarios_ciclo2y3_mujeres,otros_total,otros_hombres,otros_mujeres,otro_fp_total,otro_fp_hombres,otro_fp_mujeres
2013,Abril,19. Vicálvaro,6.328,3.155,3.173,365,205,160,522,301,221,639,353,286,473,205,268,3.214,1.683,1.531,418,170,248,272,89,183,422,147,275,3,2,1,0,0,0
2013,Abril,20. San Blas-Canillejas,13.066,6.568,6.498,162,94,68,419,235,184,2.049,1.146,903,861,360,501,7.130,3.769,3.361,769,336,433,624,227,397,1.036,395,641,16,6,10,0,0,0
2013,Abril,21. Barajas,2.790,1.313,1.477,39,18,21,116,58,58,224,114,110,131,69,62,1.483,727,756,186,92,94,214,77,137,394,156,238,3,2,1,0,0,0
2013,Mayo,Ciudad de Madrid,252.846,126.024,126.822,4.289,2.423,1.866,17.178,9.690,7.488,36.809,20.513,16.296,14.597,6.313,8.284,121.154,62.888,58.266,13.827,6.516,7.311,12.506,4.705,7.801,31.876,12.775,19.101,610,201,409,0,0,0
2013,Mayo,01. Centro,12.001,6.320,5.681,91,54,37,438,279,159,1.935,1.183,752,496,245,251,5.274,2.920,2.354,602,307,295,646,265,381,2.476,1.046,1.430,43,21,22,0,0,0
2013,Mayo,02. Arganzuela,11.041,5.188,5.853,54,28,26,338,172,166,1.566,904,662,560,249,311,4.593,2.274,2.319,730,356,374,877,336,541,2.244,843,1.401,79,26,53,0,0,0
2013,Mayo,03. Retiro,6.532,2.999,3.533,23,17,6,107,55,52,701,355,346,282,139,143,2.662,1.273,1.389,373,184,189,518,230,288,1.832,738,1.094,34,8,26,0,0,0
2013,Mayo,04. Salamanca,7.787,3.483,4.304,24,12,12,223,117,106,665,309,356,322,134,188,3.346,1.602,1.744,426,192,234,591,241,350,2.147,859,1.288,43,17,26,0,0,0
2013,Mayo,05. Chamartín,7.212,3.302,3.910,17,7,10,253,127,126,373,180,193,274,120,154,3.023,1.435,1.588,402,202,200,565,244,321,2.263,974,1.289,42,13,29,0,0,0
2013,Mayo,06. Tetuán,12.485,6.203,6.282,46,29,17,1.983,1.083,900,1.728,917,811,616,272,344,5.264,2.731,2.533,598,302,296,578,196,382,1.645,668,977,27,5,22,0,0,0
2013,Mayo,07. Chamberí,7.911,3.617,4.294,73,32,41,270,148,122,809,404,405,255,99,156,3.068,1.545,1.523,399,188,211,572,214,358,2.399,968,1.431,66,19,47,0,0,0
2013,Mayo,08. Fuencarral-El Pardo,14.029,6.644,7.385,23,10,13,705,382,323,2.273,1.232,1.041,822,349,473,5.703,2.811,2.892,862,426,436,923,324,599,2.647,1.087,1.560,71,23,48,0,0,0
2013,Mayo,09. Moncloa-Aravaca,6.319,3.012,3.307,31,15,16,317,179,138,591,309,282,301,128,173,2.677,1.333,1.344,344,172,172,473,201,272,1.552,662,890,33,13,20,0,0,0
2013,Mayo,10. Latina,20.558,10.563,9.995,206,123,83,2.095,1.265,830,2.625,1.508,1.117,1.533,683,850,9.889,5.233,4.656,1.394,683,711,1.019,374,645,1.769,685,1.084,28,9,19,0,0,0
2013,Mayo,11. Carabanchel,23.725,12.198,11.527,221,129,92,1.497,832,665,5.115,2.845,2.270,1.457,617,840,11.850,6.369,5.481,1.234,572,662,851,295,556,1.481,533,948,19,6,13,0,0,0
