fecha,distrito,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual
12-2009,ARGANZUELA,"12,2",0,,
11-2009,ARGANZUELA,"12,2",,,
10-2009,ARGANZUELA,,,,
09-2009,ARGANZUELA,,,,
08-2009,ARGANZUELA,,,,
07-2009,ARGANZUELA,,,,
06-2009,ARGANZUELA,,,,
05-2009,ARGANZUELA,,,,
04-2009,ARGANZUELA,,,,
03-2009,ARGANZUELA,,,,
02-2009,ARGANZUELA,,,,
01-2009,ARGANZUELA,,,,
12-2008,ARGANZUELA,,,,
11-2008,ARGANZUELA,,,,
10-2008,ARGANZUELA,,,,
09-2008,ARGANZUELA,,,,
08-2008,ARGANZUELA,,,,
07-2008,ARGANZUELA,,,,
06-2008,ARGANZUELA,,,,
05-2008,ARGANZUELA,,,,
04-2008,ARGANZUELA,,,,
03-2008,ARGANZUELA,,,,
02-2008,ARGANZUELA,,,,
01-2008,ARGANZUELA,,,,
12-2007,ARGANZUELA,,,,
11-2007,ARGANZUELA,,,,
10-2007,ARGANZUELA,,,,
09-2007,ARGANZUELA,,,,
08-2007,ARGANZUELA,,,,
07-2007,ARGANZUELA,,,,
06-2007,ARGANZUELA,,,,
05-2007,ARGANZUELA,,,,
04-2007,ARGANZUELA,,,,
03-2007,ARGANZUELA,,,,
02-2007,ARGANZUELA,,,,
01-2007,ARGANZUELA,,,,
12-2006,ARGANZUELA,,,,
11-2006,ARGANZUELA,,,,
10-2006,ARGANZUELA,,,,
09-2006,ARGANZUELA,,,,
08-2006,ARGANZUELA,,,,
07-2006,ARGANZUELA,,,,
06-2006,ARGANZUELA,,,,
05-2006,ARGANZUELA,,,,
04-2006,ARGANZUELA,,,,
03-2006,ARGANZUELA,,,,
02-2006,ARGANZUELA,,,,
01-2006,ARGANZUELA,,,,
04-2024,BARAJAS,"14,1","1,1","-0,2","11,3"
03-2024,BARAJAS,"13,9","-0,2","-0,6","9,9"
02-2024,BARAJAS,"13,9","-1,1","-0,3","11,3"
01-2024,BARAJAS,"14,1","0,8",3,"13,1"
12-2023,BARAJAS,14,0,"3,2",12
11-2023,BARAJAS,14,"2,2","5,1","12,6"
10-2023,BARAJAS,"13,7",1,"4,3","12,7"
09-2023,BARAJAS,"13,6","1,8","2,6",13
08-2023,BARAJAS,"13,3","1,4","2,8","9,6"
07-2023,BARAJAS,"13,1","-0,7","3,8","8,1"
06-2023,BARAJAS,"13,2",2,"4,3","9,5"
05-2023,BARAJAS,13,"2,5","3,3","5,6"
04-2023,BARAJAS,"12,6","-0,2","1,3","3,2"
03-2023,BARAJAS,"12,7",1,"1,3","4,7"
02-2023,BARAJAS,"12,5","0,5","0,9","7,4"
01-2023,BARAJAS,"12,5","-0,2","2,7","7,6"
12-2022,BARAJAS,"12,5","0,6","4,2","7,4"
11-2022,BARAJAS,"12,4","2,2","2,3","8,3"
10-2022,BARAJAS,"12,2","1,3","0,1","5,5"
09-2022,BARAJAS,12,"-1,3","-0,6","5,4"
08-2022,BARAJAS,"12,2",0,-1,"7,2"
07-2022,BARAJAS,"12,1","0,6","-0,8","6,7"
