año,mes,distrito,total,hombres_total,mujeres_total,16_19_total,16_19_hombres,16_19_mujeres,20_24_total,20_24_hombres,20_24_mujeres,25_29_total,25_29_hombres,25_29_mujeres,30_34_total,30_34_hombres,30_34_mujeres,35_39_total,35_39_hombres,35_39_mujeres,40_44_total,40_44_hombres,40_44_mujeres,45_49_total,45_49_hombres,45_49_mujeres,50_54_total,50_54_hombres,50_54_mujeres,55_59_total,55_59_hombres,55_59_mujeres,60_mas_total,60_mas_hombres,60_mas_mujeres
2013,Abril,MORATALAZ,7706,3798,3908,134,73,61,545,284,261,737,379,358,844,420,424,993,473,520,1088,554,534,1153,566,587,928,441,487,793,368,425,491,240,251
2013,Abril,CIUDAD LINEAL,16520,8226,8294,167,102,65,869,454,415,1437,675,762,2009,1025,984,2282,1134,1148,2331,1192,1139,2359,1215,1144,2015,971,1044,1853,898,955,1198,560,638
2013,Abril,HORTALEZA,11515,5558,5957,144,84,60,713,381,332,1058,539,519,1365,663,702,1664,774,890,1712,795,917,1502,689,813,1340,651,689,1153,556,597,864,426,438
2013,Abril,VILLAVERDE,16447,8729,7718,377,205,172,1385,715,670,1587,804,783,2048,1105,943,2371,1241,1130,2436,1274,1162,2266,1244,1022,1881,1046,835,1384,745,639,712,350,362
2013,Abril,VILLA DE VALLECAS,10153,4874,5279,216,121,95,847,443,404,1045,498,547,1480,617,863,1725,838,887,1405,704,701,1137,569,568,979,461,518,805,377,428,514,246,268
2013,Abril,VICÁLVARO,6328,3155,3173,156,91,65,457,230,227,530,280,250,762,373,389,1010,453,557,1011,492,519,969,489,480,679,342,337,515,276,239,239,129,110
2013,Abril,SAN BLAS-CANILLEJAS,13066,6568,6498,218,117,101,805,401,404,1208,604,604,1360,662,698,1747,864,883,1975,934,1041,1946,1003,943,1729,924,805,1362,704,658,716,355,361
2013,Abril,BARAJAS,2790,1313,1477,25,14,11,136,61,75,275,133,142,345,177,168,437,185,252,384,166,218,355,168,187,328,167,161,267,121,146,238,121,117
2013,Mayo,MADRID,252846,126024,126822,3555,1992,1563,15338,7770,7568,24099,11893,12206,31824,15562,16262,36377,17991,18386,35643,17928,17715,34735,17832,16903,29871,15062,14809,25336,12384,12952,16068,7610,8458
2013,Mayo,CENTRO,12001,6320,5681,57,34,23,431,203,228,1164,589,575,1806,891,915,1917,1020,897,1657,887,770,1675,936,739,1375,752,623,1167,628,539,752,380,372
2013,Mayo,ARGANZUELA,11041,5188,5853,87,52,35,562,267,295,1084,523,561,1521,703,818,1550,731,819,1480,729,751,1483,685,798,1277,618,659,1219,520,699,778,360,418
2013,Mayo,RETIRO,6532,2999,3533,47,31,16,251,133,118,679,327,352,826,393,433,872,400,472,874,406,468,873,394,479,763,320,443,756,338,418,591,257,334
2013,Mayo,SALAMANCA,7787,3483,4304,49,28,21,308,162,146,758,351,407,1038,475,563,1030,446,584,976,450,526,1062,479,583,964,411,553,899,378,521,703,303,400
2013,Mayo,CHAMARTÍN,7212,3302,3910,35,20,15,250,130,120,653,312,341,871,412,459,1009,485,524,972,432,540,943,432,511,970,428,542,826,344,482,683,307,376
2013,Mayo,TETUÁN,12485,6203,6282,155,83,72,650,304,346,1174,546,628,1636,788,848,1766,863,903,1718,870,848,1813,954,859,1491,754,737,1283,649,634,799,392,407
2013,Mayo,CHAMBERÍ,7911,3617,4294,32,13,19,309,145,164,879,389,490,1182,548,634,1104,504,600,1031,479,552,993,474,519,928,431,497,839,381,458,614,253,361
2013,Mayo,FUENCARRAL - EL PARDO,14029,6644,7385,120,63,57,738,354,384,1408,700,708,1761,812,949,2155,973,1182,1917,943,974,1754,853,901,1514,700,814,1536,732,804,1126,514,612
2013,Mayo,MONCLOA - ARAVACA,6319,3012,3307,66,37,29,309,142,167,648,298,350,818,407,411,780,356,424,847,397,450,842,407,435,805,411,394,717,328,389,487,229,258
2013,Mayo,LATINA,20558,10563,9995,296,157,139,1345,692,653,1993,1003,990,2568,1342,1226,3024,1613,1411,2991,1530,1461,2832,1492,1340,2292,1203,1089,1976,948,1028,1241,583,658
2013,Mayo,CARABANCHEL,23725,12198,11527,366,207,159,1572,797,775,2196,1094,1102,3038,1529,1509,3578,1817,1761,3504,1833,1671,3282,1792,1490,2708,1403,1305,2179,1118,1061,1302,608,694
2013,Mayo,USERA,13777,7029,6748,256,131,125,1018,505,513,1298,682,616,1631,736,895,2027,1010,1017,2110,1120,990,1832,982,850,1628,863,765,1254,647,607,723,353,370
2013,Mayo,PUENTE DE VALLECAS,26061,13915,12146,588,352,236,2083,1098,985,2555,1302,1253,3242,1678,1564,3549,1937,1612,3519,1925,1594,3600,1977,1623,3201,1722,1479,2454,1297,1157,1270,627,643
2013,Mayo,MORATALAZ,7614,3749,3865,140,82,58,533,281,252,731,377,354,819,407,412,990,470,520,1043,524,519,1155,563,592,935,445,490,785,362,423,483,238,245
2013,Mayo,CIUDAD LINEAL,16221,8089,8132,148,88,60,785,397,388,1414,688,726,1939,992,947,2200,1109,1091,2280,1161,1119,2356,1222,1134,2029,980,1049,1867,895,972,1203,557,646
2013,Mayo,HORTALEZA,11381,5450,5931,149,90,59,705,385,320,1035,505,530,1311,615,696,1614,734,880,1654,767,887,1511,697,814,1368,668,700,1175,559,616,859,430,429
2013,Mayo,VILLAVERDE,16183,8538,7645,371,199,172,1305,658,647,1517,757,760,1969,1045,924,2347,1210,1137,2384,1256,1128,2287,1261,1026,1896,1055,841,1398,749,649,709,348,361
2013,Mayo,VILLA DE VALLECAS,9968,4779,5189,210,114,96,783,409,374,1004,490,514,1428,611,817,1686,808,878,1376,668,708,1159,577,582,978,460,518,829,397,432,515,245,270
2013,Mayo,VICÁLVARO,6258,3122,3136,154,89,65,449,234,215,500,264,236,734,363,371,1013,468,545,1005,468,537,964,482,482,677,345,332,519,282,237,243,127,116
2013,Mayo,SAN BLAS-CANILLEJAS,12976,6506,6470,206,106,100,813,409,404,1157,575,582,1346,647,699,1745,862,883,1923,911,1012,1947,996,951,1737,927,810,1375,708,667,727,365,362
2013,Mayo,BARAJAS,2807,1318,1489,23,16,7,139,65,74,252,121,131,340,168,172,421,175,246,382,172,210,372,177,195,335,166,169,283,124,159,260,134,126
2013,Junio,MADRID,247525,122696,124829,3455,1951,1504,13436,6924,6512,23117,11367,11750,30856,14940,15916,35528,17447,18081,35108,17503,17605,34468,17547,16921,29849,14934,14915,25562,12464,13098,16146,7619,8527
2013,Junio,CENTRO,11665,6134,5531,58,37,21,334,156,178,1123,568,555,1739,837,902,1837,976,861,1626,885,741,1642,906,736,1366,753,613,1178,638,540,762,378,384
2013,Junio,ARGANZUELA,10789,5087,5702,83,45,38,447,228,219,1007,493,514,1469,670,799,1553,731,822,1494,748,746,1470,674,796,1276,611,665,1226,523,703,764,364,400
2013,Junio,RETIRO,6332,2879,3453,37,24,13,191,106,85,667,316,351,807,375,432,853,392,461,850,376,474,841,386,455,742,316,426,760,339,421,584,249,335
2013,Junio,SALAMANCA,7553,3354,4199,41,27,14,261,152,109,713,323,390,978,430,548,984,422,562,971,440,531,1045,471,574,985,415,570,899,384,515,676,290,386
2013,Junio,CHAMARTÍN,7046,3227,3819,32,19,13,224,117,107,631,303,328,846,393,453,964,475,489,956,425,531,926,423,503,961,426,535,832,346,486,674,300,374
2013,Junio,TETUÁN,12255,6086,6169,157,90,67,587,273,314,1132,528,604,1616,788,828,1713,832,881,1667,839,828,1804,954,850,1491,736,755,1279,648,631,809,398,411
2013,Junio,CHAMBERÍ,7698,3519,4179,31,16,15,229,111,118,831,385,446,1146,515,631,1080,500,580,990,448,542,996,475,521,930,434,496,862,391,471,603,244,359
2013,Junio,FUENCARRAL - EL PARDO,13696,6408,7288,116,61,55,602,297,305,1307,630,677,1726,796,930,2133,954,1179,1909,923,986,1715,825,890,1509,693,816,1563,732,831,1116,497,619
2013,Junio,MONCLOA - ARAVACA,6120,2907,3213,54,30,24,242,120,122,612,282,330,765,376,389,768,361,407,827,379,448,826,387,439,798,403,395,728,331,397,500,238,262
2013,Junio,LATINA,20050,10189,9861,270,148,122,1147,586,561,1879,946,933,2454,1262,1192,2959,1536,1423,2951,1503,1448,2875,1516,1359,2307,1192,1115,1964,926,1038,1244,574,670
2013,Junio,CARABANCHEL,23173,11856,11317,378,215,163,1380,708,672,2118,1034,1084,2955,1486,1469,3518,1770,1748,3457,1821,1636,3197,1719,1478,2681,1379,1302,2185,1111,1074,1304,613,691
2013,Junio,USERA,13593,6859,6734,259,137,122,904,452,452,1249,643,606,1626,732,894,2002,976,1026,2089,1097,992,1834,963,871,1619,846,773,1276,652,624,735,361,374
2013,Junio,PUENTE DE VALLECAS,25826,13681,12145,588,336,252,1978,1043,935,2529,1291,1238,3138,1605,1533,3466,1869,1597,3454,1849,1605,3660,2005,1655,3203,1695,1508,2499,1328,1171,1311,660,651
2013,Junio,MORATALAZ,7408,3632,3776,148,80,68,441,234,207,695,350,345,789,402,387,962,449,513,1027,514,513,1129,553,576,928,446,482,804,373,431,485,231,254
2013,Junio,CIUDAD LINEAL,15891,7918,7973,150,92,58,694,353,341,1342,648,694,1873,960,913,2163,1096,1067,2209,1114,1095,2325,1190,1135,2050,1001,1049,1873,897,976,1212,567,645
2013,Junio,HORTALEZA,11132,5251,5881,138,81,57,596,332,264,973,474,499,1294,598,696,1563,708,855,1612,715,897,1531,688,843,1382,669,713,1171,555,616,872,431,441
2013,Junio,VILLAVERDE,15884,8350,7534,358,198,160,1194,615,579,1493,737,756,1913,1002,911,2284,1181,1103,2373,1239,1134,2241,1215,1026,1903,1054,849,1402,753,649,723,356,367
2013,Junio,VILLA DE VALLECAS,9869,4679,5190,199,113,86,732,384,348,994,482,512,1411,585,826,1660,791,869,1386,667,719,1153,569,584,976,447,529,847,403,444,511,238,273
2013,Junio,VICÁLVARO,6179,3065,3114,141,81,60,425,230,195,488,261,227,706,352,354,997,445,552,1001,458,543,960,475,485,691,347,344,530,290,240,240,126,114
2013,Junio,SAN BLAS-CANILLEJAS,12573,6294,6279,194,105,89,715,374,341,1094,554,540,1269,612,657,1655,802,853,1872,884,988,1934,984,950,1704,902,802,1397,719,678,739,358,381
2013,Junio,BARAJAS,2793,1321,1472,23,16,7,113,53,60,240,119,121,336,164,172,414,181,233,387,179,208,364,169,195,347,169,178,287,125,162,282,146,136
2013,Julio,MADRID,247801,121326,126475,3388,1918,1470,13038,6638,6400,22617,10845,11772,30528,14604,15924,35750,17304,18446,35318,17350,17968,34697,17446,17251,30148,14964,15184,25901,12558,13343,16416,7699,8717
2013,Julio,CENTRO,11818,6149,5669,62,40,22,356,169,187,1071,533,538,1753,811,942,1885,1006,879,1667,896,771,1672,917,755,1369,752,617,1196,636,560,787,389,398
2013,Julio,ARGANZUELA,10984,5099,5885,70,35,35,422,219,203,1027,489,538,1487,670,817,1593,746,847,1500,727,773,1513,687,826,1312,615,697,1256,536,720,804,375,429
2013,Julio,RETIRO,6464,2909,3555,37,24,13,195,103,92,627,292,335,825,380,445,879,394,485,847,380,467,897,400,497,783,334,449,767,348,419,607,254,353
