"fecha","distrito","poblacion"
"09-2014","VICÁLVARO",69740
"09-2014","VILLA DE VALLECAS",99677
"09-2014","TETUÁN",151834
"09-2014","CHAMBERÍ",138109
"09-2014","PUENTE DE VALLECAS",228100
"09-2014","LATINA",236149
"09-2014","VILLAVERDE",142099
"09-2014","BARAJAS",45884
"09-2014","CARABANCHEL",242230
"09-2014","USERA",133522
"09-2014","HORTALEZA",174714
"09-2014","RETIRO",118548
"09-2014","CHAMARTÍN",142048
"09-2014","MADRID",3162045
"10-2014","ARGANZUELA",151011
"10-2014","MORATALAZ",95336
"10-2014","MONCLOA - ARAVACA",116572
"10-2014","FUENCARRAL - EL PARDO",233905
"10-2014","SALAMANCA",143461
"10-2014","SAN BLAS-CANILLEJAS",153233
"10-2014","CIUDAD LINEAL",213129
"10-2014","CENTRO",132400
"10-2014","VICÁLVARO",69641
"10-2014","VILLA DE VALLECAS",99674
"10-2014","TETUÁN",151815
"10-2014","CHAMBERÍ",138338
"10-2014","PUENTE DE VALLECAS",227700
"10-2014","LATINA",235684
"10-2014","VILLAVERDE",141784
"10-2014","BARAJAS",45852
"10-2014","CARABANCHEL",241592
"10-2014","USERA",133426
"10-2014","HORTALEZA",174825
"10-2014","RETIRO",118499
"10-2014","CHAMARTÍN",142127
"10-2014","MADRID",3160004
"11-2014","ARGANZUELA",151249
"11-2014","MORATALAZ",95347
"11-2014","MONCLOA - ARAVACA",116836
"11-2014","FUENCARRAL - EL PARDO",234148
"11-2014","SALAMANCA",143768
"11-2014","SAN BLAS-CANILLEJAS",153394
"11-2014","CIUDAD LINEAL",213345
"11-2014","CENTRO",132899
"11-2014","VICÁLVARO",69694
"11-2014","VILLA DE VALLECAS",99913
"11-2014","TETUÁN",152236
"11-2014","CHAMBERÍ",138564
"11-2014","PUENTE DE VALLECAS",227841
"11-2014","LATINA",235935
"11-2014","VILLAVERDE",141771
"11-2014","BARAJAS",45952
"11-2014","CARABANCHEL",242042
"11-2014","USERA",133626
"11-2014","HORTALEZA",175241
"11-2014","RETIRO",118665
"11-2014","CHAMARTÍN",142236
"11-2014","MADRID",3164702
"12-2014","ARGANZUELA",150467
"12-2014","MORATALAZ",95031
"12-2014","MONCLOA - ARAVACA",116280
"12-2014","FUENCARRAL - EL PARDO",233341
"12-2014","SALAMANCA",142843
"12-2014","SAN BLAS-CANILLEJAS",152780
"12-2014","CIUDAD LINEAL",212264
"12-2014","CENTRO",131568
"12-2014","VICÁLVARO",69460
"12-2014","VILLA DE VALLECAS",99702
"12-2014","TETUÁN",151313
"12-2014","CHAMBERÍ",137767
"12-2014","PUENTE DE VALLECAS",226744
"12-2014","LATINA",234839
"12-2014","VILLAVERDE",140974
"12-2014","BARAJAS",45812
"12-2014","CARABANCHEL",240853
"12-2014","USERA",133035
"12-2014","HORTALEZA",174640
"12-2014","RETIRO",118212
"12-2014","CHAMARTÍN",141738
"12-2014","MADRID",3149663
"01-2015","ARGANZUELA",150884
"01-2015","MORATALAZ",95089
"01-2015","MONCLOA - ARAVACA",116492
"01-2015","FUENCARRAL - EL PARDO",233978
"01-2015","SALAMANCA",143152
"01-2015","SAN BLAS-CANILLEJAS",153131
"01-2015","CIUDAD LINEAL",212492
"01-2015","CENTRO",131990
"01-2015","VICÁLVARO",69614
"01-2015","VILLA DE VALLECAS",100039
"01-2015","TETUÁN",151641
"01-2015","CHAMBERÍ",137985
"01-2015","PUENTE DE VALLECAS",227263
"01-2015","LATINA",235093
"01-2015","VILLAVERDE",141279
"01-2015","BARAJAS",45870
"01-2015","CARABANCHEL",241319
"01-2015","USERA",133429
"01-2015","HORTALEZA",175293
"01-2015","RETIRO",118500
"01-2015","CHAMARTÍN",142039
"01-2015","MADRID",3156572
"02-2015","ARGANZUELA",150726
"02-2015","MORATALAZ",94945
"02-2015","MONCLOA - ARAVACA",116397
"02-2015","FUENCARRAL - EL PARDO",233907
"02-2015","SALAMANCA",142863
"02-2015","SAN BLAS-CANILLEJAS",153056
"02-2015","CIUDAD LINEAL",212199
"02-2015","CENTRO",131525
"02-2015","VICÁLVARO",69586
"02-2015","VILLA DE VALLECAS",100251
"02-2015","TETUÁN",151681
"02-2015","CHAMBERÍ",137716
"02-2015","PUENTE DE VALLECAS",226920
"02-2015","LATINA",234844
"02-2015","VILLAVERDE",141310
"02-2015","BARAJAS",45950
"02-2015","CARABANCHEL",241175
"02-2015","USERA",133370
"02-2015","HORTALEZA",175553
"02-2015","RETIRO",118404
"02-2015","CHAMARTÍN",142132
"02-2015","MADRID",3154510
"03-2015","ARGANZUELA",150814
"03-2015","MORATALAZ",94987
"03-2015","MONCLOA - ARAVACA",116652
"03-2015","FUENCARRAL - EL PARDO",234509
