Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2020;Marzo;12. Usera;9.973;4.504;5.469;57;25;32;2.211;1.069;1.142;2.705;1.289;1.416;558;221;337;3.435;1.521;1.914;379;149;230;159;56;103;460;169;291;9;5;4;0;0;0
2020;Marzo;13. Puente de Vallecas;18.279;8.464;9.815;657;282;375;2.180;999;1.181;4.692;2.265;2.427;1.077;442;635;7.995;3.812;4.183;678;299;379;227;78;149;763;283;480;10;4;6;0;0;0
2020;Marzo;14. Moratalaz;5.151;2.239;2.912;70;29;41;385;166;219;1.524;680;844;283;110;173;1.832;860;972;328;138;190;176;59;117;549;195;354;4;2;2;0;0;0
2020;Marzo;15. Ciudad Lineal;10.725;4.740;5.985;65;25;40;242;113;129;3.552;1.670;1.882;550;213;337;3.735;1.733;2.002;633;261;372;407;149;258;1.526;574;952;15;2;13;0;0;0
2020;Marzo;16. Hortaleza;8.136;3.436;4.700;90;36;54;348;172;176;2.277;1.025;1.252;432;167;265;2.625;1.190;1.435;498;214;284;369;111;258;1.485;516;969;12;5;7;0;0;0
2020;Marzo;17. Villaverde;11.202;4.909;6.293;75;22;53;627;262;365;4.564;2.083;2.481;634;238;396;4.218;1.915;2.303;459;188;271;182;51;131;440;149;291;3;1;2;0;0;0
2020;Marzo;18. Villa de Vallecas;7.551;3.144;4.407;128;52;76;1.106;534;572;2.201;965;1.236;454;157;297;2.632;1.085;1.547;374;136;238;180;50;130;474;164;310;2;1;1;0;0;0
2020;Marzo;19. Vicálvaro;4.633;1.992;2.641;112;51;61;440;217;223;1.497;683;814;294;113;181;1.572;708;864;258;90;168;133;31;102;324;99;225;3;0;3;0;0;0
2020;Marzo;20. San Blas-Canillejas;9.030;4.033;4.997;76;28;48;301;122;179;2.919;1.398;1.521;565;213;352;3.557;1.674;1.883;526;218;308;279;85;194;802;292;510;5;3;2;0;0;0
2020;Marzo;21. Barajas;1.962;853;1.109;19;6;13;69;23;46;425;210;215;93;38;55;790;364;426;125;52;73;109;34;75;331;126;205;1;0;1;0;0;0
2020;Abril;Ciudad de Madrid;193.307;87.962;105.345;2.151;949;1.202;14.530;6.952;7.578;58.787;28.342;30.445;10.093;4.139;5.954;65.768;31.319;34.449;10.278;4.495;5.783;6.154;2.141;4.013;25.335;9.548;15.787;211;77;134;0;0;0
2020;Abril;01. Centro;9.544;5.055;4.489;70;39;31;394;226;168;2.962;1.696;1.266;369;206;163;2.885;1.615;1.270;490;236;254;358;172;186;2.000;862;1.138;16;3;13;0;0;0
2020;Abril;02. Arganzuela;8.212;3.766;4.446;52;26;26;257;139;118;1.706;840;866;412;184;228;2.782;1.372;1.410;568;281;287;481;181;300;1.934;738;1.196;20;5;15;0;0;0
2020;Abril;03. Retiro;4.670;2.080;2.590;15;6;9;131;61;70;1.273;618;655;173;84;89;1.304;605;699;290;144;146;241;86;155;1.234;472;762;9;4;5;0;0;0
2020;Abril;04. Salamanca;5.424;2.288;3.136;11;5;6;104;37;67;1.900;831;1.069;177;69;108;1.317;616;701;275;136;139;264;90;174;1.360;501;859;16;3;13;0;0;0
2020;Abril;05. Chamartín;5.240;2.293;2.947;25;7;18;121;60;61;1.523;732;791;171;58;113;1.327;601;726;270;109;161;252;93;159;1.540;628;912;11;5;6;0;0;0
2020;Abril;06. Tetuán;9.456;4.258;5.198;33;15;18;727;329;398;3.627;1.731;1.896;413;160;253;2.703;1.272;1.431;403;181;222;236;74;162;1.306;494;812;8;2;6;0;0;0
2020;Abril;07. Chamberí;5.541;2.402;3.139;22;9;13;208;105;103;1.114;556;558;181;64;117;1.621;743;878;297;142;155;281;111;170;1.804;665;1.139;13;7;6;0;0;0
2020;Abril;08. Fuencarral-El Pardo;9.965;4.326;5.639;51;25;26;403;184;219;2.719;1.260;1.459;532;202;330;3.108;1.429;1.679;619;280;339;467;156;311;2.052;783;1.269;14;7;7;0;0;0
2020;Abril;09. Moncloa-Aravaca;4.716;2.115;2.601;16;5;11;202;99;103;988;487;501;217;99;118;1.398;680;718;279;116;163;254;104;150;1.348;518;830;14;7;7;0;0;0
2020;Abril;10. Latina;15.265;7.080;8.185;208;93;115;1.566;744;822;3.071;1.483;1.588;1.084;472;612;6.163;3.035;3.128;1.107;479;628;476;166;310;1.570;599;971;20;9;11;0;0;0
2020;Abril;11. Carabanchel;18.745;8.671;10.074;141;62;79;1.460;683;777;8.050;3.868;4.182;965;387;578;5.450;2.666;2.784;920;393;527;427;133;294;1.325;477;848;7;2;5;0;0;0
2020;Abril;12. Usera;11.297;5.254;6.043;69;32;37;2.603;1.286;1.317;3.066;1.521;1.545;618;241;377;3.827;1.749;2.078;424;170;254;170;62;108;510;188;322;10;5;5;0;0;0
2020;Abril;13. Puente de Vallecas;20.083;9.451;10.632;756;352;404;2.409;1.135;1.274;5.174;2.544;2.630;1.166;495;671;8.725;4.202;4.523;753;335;418;254;85;169;835;298;537;11;5;6;0;0;0
2020;Abril;14. Moratalaz;5.629;2.485;3.144;73;31;42;428;191;237;1.688;777;911;304;129;175;1.979;928;1.051;365;151;214;188;64;124;600;212;388;4;2;2;0;0;0
2020;Abril;15. Ciudad Lineal;12.172;5.499;6.673;76;34;42;325;158;167;4.180;1.989;2.191;612;263;349;4.130;1.949;2.181;703;305;398;448;163;285;1.684;636;1.048;14;2;12;0;0;0
2020;Abril;16. Hortaleza;8.988;3.860;5.128;103;41;62;411;208;203;2.485;1.146;1.339;475;182;293;2.931;1.354;1.577;562;245;317;412;125;287;1.597;555;1.042;12;4;8;0;0;0
2020;Abril;17. Villaverde;12.939;5.898;7.041;82;27;55;702;312;390;5.510;2.642;2.868;701;278;423;4.732;2.190;2.542;513;223;290;204;60;144;492;165;327;3;1;2;0;0;0
2020;Abril;18. Villa de Vallecas;8.228;3.494;4.734;129;52;77;1.186;584;602;2.387;1.062;1.325;493;166;327;2.882;1.222;1.660;422;164;258;199;57;142;528;186;342;2;1;1;0;0;0
2020;Abril;19. Vicálvaro;5.011;2.204;2.807;113;52;61;459;229;230;1.639;759;880;325;130;195;1.708;791;917;274;98;176;133;33;100;359;112;247;1;0;1;0;0;0
2020;Abril;20. San Blas-Canillejas;10.006;4.518;5.488;85;30;55;351;151;200;3.254;1.566;1.688;608;232;376;3.911;1.878;2.033;604;249;355;295;88;207;893;321;572;5;3;2;0;0;0
2020;Abril;21. Barajas;2.176;965;1.211;21;6;15;83;31;52;471;234;237;97;38;59;885;422;463;140;58;82;114;38;76;364;138;226;1;0;1;0;0;0
2020;Mayo;Ciudad de Madrid;201.976;91.145;110.831;2.272;978;1.294;15.656;7.388;8.268;61.796;29.343;32.453;10.549;4.282;6.267;67.899;32.243;35.656;10.750;4.693;6.057;6.462;2.234;4.228;26.356;9.901;16.455;236;83;153;0;0;0
2020;Mayo;01. Centro;10.209;5.388;4.821;73;42;31;457;269;188;3.248;1.837;1.411;399;220;179;2.983;1.667;1.316;533;251;282;388;184;204;2.107;911;1.196;21;7;14;0;0;0
2020;Mayo;02. Arganzuela;8.588;3.916;4.672;54;26;28;278;142;136;1.833;894;939;447;198;249;2.883;1.397;1.486;584;293;291;488;184;304;1.993;775;1.218;28;7;21;0;0;0
2020;Mayo;03. Retiro;4.904;2.168;2.736;17;6;11;145;71;74;1.395;678;717;183;86;97;1.321;606;715;293;144;149;261;89;172;1.282;487;795;7;1;6;0;0;0
